Latijnse naam,Nederlandse naam,Voorkomen,Stuifmeelkleur,Nectarwaarde,Pollenwaarde,SB,EB
"Abelia schumannii","Abelia","struik","?","N 3","P 0","8","9"
"Abutilon x hybridum","Chinese lantaarn","kuipplant/struik","?","N 4","P 0","5","10"
"Acacia","Acacia","boom","-","N -","P -","-","-"
"Acanthus mollis","Zachte acanthus","vast","?","N 0","P 0","7","9"
"Acer campestre","Spaanse aak / Veldesdoorn","boom/struik","Geel/geelachtig","N 5","P 5","5","6"
"Acer capillipes","Slangenesdoorn","boom/struik","Geel/geelachtig","N 5","P 5","5","5"
"Acer cappadocicum","Colchische esdoorn","boom","Geel/geelachtig","N 5","P 5","5","5"
"Acer cissifolium","Cissusbladige esdoorn","boom/struik","Geel/geelachtig","N 5","P 5","5","5"
"Acer griseum","Dwergesdoorn","boom/struik","Geel/geelachtig","N 5","P 5","5","5"
"Acer macrophyllum","Esdoorn","boom","Geel/geelachtig","N 5","P 5","4","4"
"Acer monspessulanum","Montpellier esdoorn","boom/struik","Geel/geelachtig","N 5","P 5","4","5"
"Acer negundo","Vederesdoorn","boom/struik","Geel/geelachtig","N 1","P 1","3","4"
"Acer opalus","Italiaanse esdoorn","boom","Geel/geelachtig","N 5","P 5","4","4"
"Acer palmatum","Japanse esdoorn","struik","Geel/geelachtig","N 1","P 1","5","5"
"Acer pensylvanicum","Esdoorn","struik","Geel/geelachtig","N 5","P 5","5","5"
"Acer platanoides","Noorse esdoorn","boom","Geel/geelachtig","N 5","P 5","4","5"
"Acer pseudoplatanus","Gewone esdoorn / Bergesdoorn","boom","Geel/geelachtig","N 5","P 5","4","5"
"Acer rubrum","Rode esdoorn","boom","Geel/geelachtig","N 5","P 5","3","4"
"Acer saccharinum","Zilver- of Witte esdoorn","boom","Geel/geelachtig","N 5","P 5","3","3"
"Acer saccharum","Suikeresdoorn","boom","Geel/geelachtig","N 5","P 5","4","4"
"Acer spicatum","Esdoorn","struik","Geel/geelachtig","N 5","P 5","6","6"
"Acer tataricum subsp.ginnala","Esdoorn","struik","Geel/geelachtig","N 5","P 5","5","6"
"Achillea filipendulina","Geel duizendblad","vast","?","N 1","P 1","6","8"
"Achillea millefolium","Gewoon duizendblad","vast","?","N 1","P 1","6","10"
"Achyranthes aspera var. Sicula","Amarant","1-jarig","?","N 4","P 0","7","9"
"Aconitum napellus","Blauwe monnikskap","vast","?","N 0","P 0","6","8"
"Aconitum vulparia","Gele monnikskap","vast","?","N 1","P 1","6","8"
"Adoxa moschatellina","Muskuskruid","vast","?","N 1","P 0","4","5"
"Adonis aestivalis","Zomeradonis","1-jarig","?","N 0","P 1","5","7"
"Aegopodium podagraria","Zevenblad","vast","?","N 3","P 3","6","7"
"Aesculus flava","Amerikaanse kastanje","boom","Rood","N 5","P 5","5","6"
"Aesculus glabra","Gladde pavia","boom","Rood","N 5","P 5","5","6"
"Aesculus hippocastanum","Witte paardenkastanje","boom","Rood","N 5","P 5","5","6"
"Aesculus parviflora","Kleinbloemige kastanje","struik","?","N 4","P 4","7","8"
"Aesculus x carnea","Rode paardenkastanje","boom","Rood","N 5","P 5","5","6"
"Agapanthus campanulatus","Agapanthus","kuipplant","?","N 3","P 0","7","8"
"Agastache foeniculum","Dropplant","vast/1-jarig","?","N 2","P 2","7","9"
"Agastache pringlei","Dropplant","vast","?","N 2","P 2","8","10"
"Agastache rugosa","Dropplant","vast","?","N 2","P 2","7","9"
"Agastache scrophulariifolia","Dropplant / Reuzenhyssop","vast","?","N 3","P 3","7","9"
"Ailanthus altissima","Hemelboom","boom","?","N 5","P 5","6","7"
"Ajuga pyrimidalis","Piramidezenegroen","vast","?","N 1","P 0","5","6"
"Ajuga reptans","Kruipend zenegroen","vast","?","N 3","P 3","4","6"
"Alisma lanceolatum","Slanke waterweegbree","water/moeraspl.","?","N 2","P 2","7","9"
"Alisma plantago-aquatica","Grote waterweegbree","water/moeraspl.","?","N 1","P 1","7","9"
"Alliaria petiolata","Look zonder look","2-jarig","?","N 3","P 3","4","6"
"Allium cepa","Ui","bol","?","N 5","P 5","7","8"
"Allium cernuum","Look","bol","?","N 1","P 0","6","7"
"Allium fistulosum","Grof bieslook / Pijplook","bol","?","N 2","P 2","6","9"
"Allium giganteum","Reuzenlook","bol","?","N 4","P 4","6","7"
"Allium molly","Goudvinkje","bol","?","N 3","P 3","5","6"
"Allium oleraceum","Moeslook","bol","?","N 1","P 1","6","8"
"Allium porrum","Prei","bol","?","N 3","P 3","6","8"
"Allium schoenoprasum","Bieslook","bol","?","N 3","P 0","5","7"
"Allium scorodoprasum","Slangenlook","bol","?","N 3","P 3","6","7"
"Allium senescens","-","bol","?","N 5","P 5","6","9"
"Allium tuberosum","Chinese bieslook / Knoflookbieslook","bol","?","N 3","P 0","8","9"
"Allium ursinum","Daslook","bol","?","N 2","P 2","4","5"
"Alnus glutinosa","Zwarte els","boom","Geel","N 0","P 1","2","3"
